model,method_key,dataset,dataset_family,n_folds,positive_folds,tie_folds,negative_folds,all_folds_positive,all_folds_nonnegative,mixed_positive_negative
bag8,joint_freq_separate,QSAR_fish_toxicity,TabArena_IID,3,0,3,0,False,True,False
bag8,joint_freq_separate,airfoil_self_noise,TabArena_IID,3,1,0,2,False,False,True
bag8,joint_freq_separate,bank-marketing,TabArena_IID,3,1,0,2,False,False,True
bag8,joint_freq_separate,bike_sharing,real_shift,1,1,0,0,False,True,False
bag8,joint_freq_separate,blood-transfusion-service-center,TabArena_IID,3,0,3,0,False,True,False
bag8,joint_freq_separate,brfss_diabetes,real_shift,1,1,0,0,False,True,False
bag8,joint_freq_separate,churn,TabArena_IID,3,2,0,1,False,False,True
bag8,joint_freq_separate,coil2000_insurance_policies,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_separate,concrete_compressive_strength,TabArena_IID,3,0,3,0,False,True,False
bag8,joint_freq_separate,credit-g,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_separate,credit_card_clients_default,TabArena_IID,3,3,0,0,True,True,False
bag8,joint_freq_separate,diabetes,TabArena_IID,3,0,3,0,False,True,False
